Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-06-05,1897.322361711761,2658.7615932836766,-33.9805172,18.4629832,-33.9773313,18.4657622,0.6551857037661102,3.861999988555908,0.0,3711,,,,39,,54822576,3935674,,,,17760000,5580000,
2019-06-06,1848.1550422178846,1901.7481904625893,,,,,2.5051305035212033,28.538434982299805,0.2104189097881317,3909,,,,52,,78098709,3049618,,,,,,
2019-06-07,1756.9006393508391,875.0593466758728,,,,,0.8051342506608975,1.3275753259658813,0.3019051253795624,1905,,,,24,,80142258,1634500,,,,,,
2019-06-08,1678.2660399286162,224.67484045028687,,,,,0.7026485564337465,1.6320058107376099,0.17495585978031158,1069,,,,9,,72275976,415082,,,,,,
2019-06-09,1663.9204433238178,20.72003936767578,,,,,0.3117787390947342,0.36135122179985046,0.2622062563896179,912,,,,,,80699434,192620,,,,,,
2019-06-10,1865.4628740806857,1577.0095284581184,-33.9776598,18.4651406,-33.9773837,18.4657731,0.6595480443737166,1.7122234106063843,0.14603888988494873,3118,,,,41,,77812555,3311753,,,,,,
2019-06-11,1651.4993864667383,,,,,,,,,115,,,,,,86188034,,,,,,,
2019-06-12,1857.144171904838,1850.3049877028666,-33.9805085,18.4632636,-33.9773879,18.4656866,1.9593348192829854,32.095088958740234,0.12946806848049164,3884,79.199951171875,79.199951171875,79.199951171875,46,,62731261,3188594,,,,5580000,2400000,
2019-06-13,1754.3857034980879,1203.8550099987783,-33.9777794,18.4648245,-33.8635365,18.6842433,1.640119925628527,31.05206871032715,0.005976544693112373,1769,79.19989013671875,79.19989013671875,79.19989013671875,23,,56221674,1595508,,,,20880000,3060000,
2019-06-14,1971.560175874324,2618.2944200634956,-33.9812891,18.4631621,-33.9773964,18.4657538,0.7628132920741267,12.696221351623535,0.19409498572349548,6007,,,,83,,72021306,4963321,,,,,,
2019-06-15,1920.9456656045438,1947.3984896540642,,,,,1.247969480512908,33.301734924316406,0.21360142529010773,4296,,,,49,703904,67313069,3221639,88820,,,,,
2019-06-16,2008.2296293120012,3599.580694168806,-33.9118157,18.4176184,-33.9053942,18.4233164,0.6637254564620041,1.475880742073059,0.09006056934595108,7179,,,,82,,73939033,4760171,341156,,,,,
2019-06-17,1651.4988376141334,,,,,,,,,277,,,,,,85574623,,,,,,,
2019-06-18,1762.7820202976377,1145.2236067056656,,,,,0.7862852038042423,1.9014391899108887,0.28058382868766785,2525,,,,38,,80972667,1725714,,,,,,
2019-06-19,1771.447192584875,1120.2112606167793,-33.980518,18.4630579,-33.9773615,18.4658006,0.3948248893960768,2.2929470539093018,0.10366661846637726,2911,,,,28,,77052914,1860088,,,,,,
2019-06-20,1824.8445377055905,1753.2963630259037,-33.9798613,18.4635289,-33.9773946,18.4657761,0.45744577677239734,2.086747884750366,0.10404036194086075,3475,,,,45,,79660027,2688143,,,,,,
